id,date,lon,lat,depth,type,level,loc,incident,city,province
2276,2019-06-18 08:14:52,104.81,28.42,8,ML,3.4,四川长宁,天然地震,宜宾市,四川省
2277,2019-06-18 07:34:32,104.95,28.39,9,Ms,5.1,四川长宁,天然地震,宜宾市,四川省
2278,2019-06-18 05:49:15,104.8,28.41,7,ML,3.7,四川珙县,天然地震,宜宾市,四川省
2279,2019-06-18 05:04:03,104.8,28.43,2,ML,3.7,四川长宁,天然地震,宜宾市,四川省
2280,2019-06-18 05:03:24,104.99,28.37,8,Ms,4.6,四川长宁,天然地震,宜宾市,四川省
2281,2019-06-18 04:11:08,104.75,28.43,8,ML,3.4,四川珙县,天然地震,宜宾市,四川省
2282,2019-06-18 02:58:18,104.81,28.41,5,ML,3.1,四川珙县,天然地震,宜宾市,四川省
2283,2019-06-18 02:57:25,118.54,23.4,12,ML,3.8,台湾海峡,天然地震,中华人民共和国,中华人民共和国
2284,2019-06-18 01:01:24,104.79,28.41,5,ML,3.1,四川珙县,天然地震,宜宾市,四川省
2285,2019-06-18 00:39:10,104.94,28.36,3,ML,3.6,四川长宁,天然地震,宜宾市,四川省
2286,2019-06-18 00:37:56,104.95,28.41,8,Ms,4.3,四川长宁,天然地震,宜宾市,四川省
2287,2019-06-18 00:29:08,104.93,28.43,8,Ms,4.2,四川长宁,天然地震,宜宾市,四川省
2288,2019-06-17 23:36:03,104.72,28.47,10,Ms,5.3,四川珙县,天然地震,宜宾市,四川省
2289,2019-06-17 23:23:31,104.9,28.39,4,ML,3.0,四川长宁,天然地震,宜宾市,四川省
2290,2019-06-17 23:09:01,104.85,28.4,3,ML,3.5,四川长宁,天然地震,宜宾市,四川省
2291,2019-06-17 23:03:59,104.84,28.4,4,ML,3.1,四川长宁,天然地震,宜宾市,四川省
2292,2019-06-17 23:03:07,104.87,28.39,6,ML,3.3,四川长宁,天然地震,宜宾市,四川省
2293,2019-06-17 23:02:36,104.85,28.4,3,ML,3.1,四川长宁,天然地震,宜宾市,四川省
2294,2019-06-17 22:57:33,104.85,28.4,7,ML,3.0,四川长宁,天然地震,宜宾市,四川省
2295,2019-06-17 22:56:27,104.78,28.42,8,ML,3.5,四川珙县,天然地震,宜宾市,四川省
2296,2019-06-17 22:55:43,104.96,28.34,8,Ms,6.0,四川长宁,天然地震,宜宾市,四川省
2297,2019-06-16 20:51:13,103.76,33.36,15,ML,3.4,四川九寨沟,天然地震,阿坝藏族羌族自治州,四川省
2298,2019-06-12 20:51:06,77.5,36.66,95,ML,3.4,新疆叶城,天然地震,喀什地区,新疆维吾尔自治区
2299,2019-06-11 21:56:08,96.55,37.33,9,ML,3.8,青海德令哈,天然地震,海西蒙古族藏族自治州,青海省
2300,2019-06-11 05:18:15,78.22,37.5,6,ML,3.1,新疆皮山,天然地震,和田地区,新疆维吾尔自治区
2301,2019-06-11 02:07:34,78.15,37.46,20,ML,3.2,新疆皮山,天然地震,和田地区,新疆维吾尔自治区
2302,2019-06-09 01:36:27,119.89,42.02,9,ML,3.3,辽宁建平,天然地震,朝阳市,辽宁省
2303,2019-06-08 05:47:05,80.46,42.23,9,ML,3.9,新疆温宿,天然地震,阿克苏地区,新疆维吾尔自治区
2304,2019-06-06 20:45:49,83.42,33.01,7,Ms,3.6,西藏改则,天然地震,阿里地区,西藏自治区
2305,2019-06-06 18:44:31,96.11,39.61,9,ML,3.2,甘肃肃北,天然地震,酒泉市,甘肃省
2306,2019-06-06 03:27:19,121.68,23.83,24,ML,3.6,台湾花莲海域,天然地震,中华人民共和国,中华人民共和国
2307,2019-06-05 18:12:33,83.65,41.19,10,ML,3.0,新疆库车,天然地震,阿克苏地区,新疆维吾尔自治区
2308,2019-06-05 15:26:58,103.63,28.11,8,Ms,4.0,云南永善,天然地震,昭通市,云南省
2309,2019-06-05 00:32:53,105.19,33.31,9,ML,3.1,甘肃武都,天然地震,陇南市,甘肃省
2310,2019-06-04 20:16:59,121.65,23.17,38,ML,3.0,台湾台东海域,天然地震,中华人民共和国,中华人民共和国
2311,2019-06-04 17:46:15,121.65,22.78,10,Ms,5.8,台湾台东海域,天然地震,中华人民共和国,中华人民共和国
2312,2019-06-04 08:33:00,89.45,43.58,6,ML,3.0,新疆奇台,天然地震,昌吉回族自治州,新疆维吾尔自治区
2313,2019-06-04 02:09:03,101.21,27.59,23,ML,3.2,四川盐源,天然地震,凉山彝族自治州,四川省
2314,2019-06-03 01:47:10,124.75,45.3,12,Ms,4.0,吉林松原,天然地震,松原市,吉林省
2315,2019-06-01 00:01:30,75.78,36.87,23,Ms,4.0,新疆塔什库尔干,天然地震,喀什地区,新疆维吾尔自治区
2316,2019-05-31 23:53:18,120.5,22.95,11,Ms,4.3,台湾高雄,天然地震,台湾省,台湾省
2317,2019-05-31 23:29:45,83.81,41.31,7,ML,3.0,新疆库车,天然地震,阿克苏地区,新疆维吾尔自治区
2318,2019-05-31 08:36:43,82.95,34.46,6,Ms,3.9,西藏改则,天然地震,阿里地区,西藏自治区
2319,2019-05-29 13:23:33,77.51,40.62,19,ML,3.2,新疆阿合奇,天然地震,克孜勒苏柯尔克孜自治州,新疆维吾尔自治区
2320,2019-05-28 11:06:22,102.76,24.44,13,ML,3.1,云南江川,天然地震,玉溪市,云南省
2321,2019-05-26 10:09:25,87.59,30.32,8,Ms,4.4,西藏谢通门,天然地震,日喀则市,西藏自治区
2322,2019-05-26 09:44:54,87.65,30.36,6,Ms,4.7,西藏谢通门,天然地震,日喀则市,西藏自治区
2323,2019-05-25 18:01:21,85.56,32.87,7,ML,3.4,西藏改则,天然地震,阿里地区,西藏自治区
2324,2019-05-25 14:27:40,121.46,23.17,20,ML,3.2,台湾台东海域,天然地震,中华人民共和国,中华人民共和国
2325,2019-05-24 03:59:51,95.77,37.56,8,ML,3.4,青海大柴旦,天然地震,海西蒙古族藏族自治州,青海省
2326,2019-05-23 14:12:49,121.46,24.3,4,Ms,4.4,台湾花莲,天然地震,台湾省,台湾省
2327,2019-05-23 04:41:27,122.18,23.74,18,Ms,4.0,台湾花莲海域,天然地震,中华人民共和国,中华人民共和国
2328,2019-05-22 09:37:24,121.64,23.95,24,Ms,4.0,台湾花莲海域,天然地震,中华人民共和国,中华人民共和国
2329,2019-05-20 15:34:01,94.24,44.04,7,ML,3.7,新疆伊吾,天然地震,哈密市,新疆维吾尔自治区
2330,2019-05-20 03:57:46,74.76,38.84,7,ML,3.4,新疆阿克陶,天然地震,克孜勒苏柯尔克孜自治州,新疆维吾尔自治区
2331,2019-05-19 10:18:36,124.76,45.22,6,ML,3.3,吉林松原,天然地震,松原市,吉林省
2332,2019-05-19 07:54:56,74.79,38.87,8,ML,3.0,新疆阿克陶,天然地震,克孜勒苏柯尔克孜自治州,新疆维吾尔自治区
2333,2019-05-19 00:38:33,122.23,24.05,23,Ms,4.1,台湾花莲海域,天然地震,中华人民共和国,中华人民共和国
2334,2019-05-18 16:01:11,74.85,38.86,7,ML,3.0,新疆阿克陶,天然地震,克孜勒苏柯尔克孜自治州,新疆维吾尔自治区
2335,2019-05-18 15:55:15,74.85,38.84,6,ML,3.1,新疆阿克陶,天然地震,克孜勒苏柯尔克孜自治州,新疆维吾尔自治区
2336,2019-05-18 15:53:31,74.78,38.85,8,ML,3.4,新疆阿克陶,天然地震,克孜勒苏柯尔克孜自治州,新疆维吾尔自治区
2337,2019-05-18 15:13:55,74.82,38.84,6,ML,3.0,新疆阿克陶,天然地震,克孜勒苏柯尔克孜自治州,新疆维吾尔自治区
2338,2019-05-18 13:20:01,104.42,32.02,19,ML,3.2,四川北川,天然地震,绵阳市,四川省
2339,2019-05-18 06:24:48,124.74,45.32,10,Ms,5.1,吉林松原,天然地震,松原市,吉林省
2340,2019-05-18 03:49:34,75.74,39.61,22,ML,3.7,新疆阿图什,天然地震,克孜勒苏柯尔克孜自治州,新疆维吾尔自治区
2341,2019-05-17 11:56:53,83.82,41.25,12,ML,3.3,新疆库车,天然地震,阿克苏地区,新疆维吾尔自治区
2342,2019-05-17 00:11:36,79.33,40.07,6,ML,3.5,新疆巴楚,天然地震,新疆维吾尔自治区,新疆维吾尔自治区
2343,2019-05-16 06:08:17,99.98,24.33,15,ML,3.5,云南凤庆,天然地震,临沧市,云南省
2344,2019-05-16 04:33:33,103.53,28.06,10,Ms,4.7,云南永善,天然地震,昭通市,云南省
2345,2019-05-14 17:48:32,86.71,47.44,15,ML,3.9,新疆吉木乃,天然地震,阿勒泰地区,新疆维吾尔自治区
2346,2019-05-13 16:55:21,121.86,24.8,92,ML,3.8,台湾宜兰海域,天然地震,中华人民共和国,中华人民共和国
2347,2019-05-13 14:25:04,104.8,34.26,13,ML,3.2,甘肃岷县,天然地震,定西市,甘肃省
2348,2019-05-13 11:55:26,78.31,36.96,23,ML,3.5,新疆皮山,天然地震,和田地区,新疆维吾尔自治区
2349,2019-05-13 10:13:23,84.13,42.08,12,ML,3.4,新疆轮台,天然地震,巴音郭楞蒙古自治州,新疆维吾尔自治区
2350,2019-05-13 06:25:50,123.48,36.29,6,ML,3.1,黄海,天然地震,中华人民共和国,中华人民共和国
2351,2019-05-12 06:01:50,100.6,40.0,10,ML,3.1,内蒙古阿拉善右旗,天然地震,阿拉善盟,内蒙古自治区
2352,2019-05-12 05:55:27,100.6,39.97,10,Ms,4.0,内蒙古阿拉善右旗,天然地震,阿拉善盟,内蒙古自治区
2353,2019-05-12 04:51:55,74.5,39.03,8,ML,3.1,新疆阿克陶,天然地震,克孜勒苏柯尔克孜自治州,新疆维吾尔自治区
2354,2019-05-11 22:18:13,100.87,22.98,16,ML,3.6,云南宁洱,天然地震,普洱市,云南省
2355,2019-05-11 11:54:11,124.71,45.25,9,ML,3.4,吉林松原,天然地震,松原市,吉林省
2356,2019-05-10 12:19:22,88.0,42.97,18,ML,3.3,新疆托克逊,天然地震,吐鲁番市,新疆维吾尔自治区
2357,2019-05-10 03:15:54,80.54,45.11,18,ML,4.0,新疆温泉,天然地震,博尔塔拉蒙古自治州,新疆维吾尔自治区
